"trial_type","trial_index","time_elapsed","internal_node_id","rt","responses","partNum","view_history","key_press","images","key_choice","image_i_chosen","feedback_correct","phase","correct_stim","correct","score"
"pavlovia","0","16","0.0-0.0","","","","","","","","","","","","",""
"survey-text","1","10891","0.0-1.0","10874","{""Q0"":""4""}","""4""","","","","","","","","","",""
"instructions","2","47579","0.0-2.0-0.0","36687","","","[{""page_index"":0,""viewing_time"":16954},{""page_index"":1,""viewing_time"":1492},{""page_index"":0,""viewing_time"":2044},{""page_index"":1,""viewing_time"":6164},{""page_index"":2,""viewing_time"":7840},{""page_index"":3,""viewing_time"":2192}]","","","","","","","","",""
"two-choice","3","52087","0.0-3.0-0.0","2974","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","1"
"two-choice","4","56059","0.0-3.1-0.1","1672","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","0","2"
"two-choice","5","59001","0.0-3.2-0.2","642","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","1","trial","0","0","3"
"two-choice","6","62032","0.0-3.3-0.3","730","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","4"
"two-choice","7","64712","0.0-3.4-0.4","398","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","5"
"two-choice","8","67391","0.0-3.5-0.5","391","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","0","trial","1","0","5"
"two-choice","9","70060","0.0-3.6-0.6","374","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","6"
"two-choice","10","73134","0.0-3.7-0.7","789","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","7"
"two-choice","11","75814","0.0-3.8-0.8","388","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","1","7"
"two-choice","12","78577","0.0-3.9-0.9","480","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","8"
"two-choice","13","81321","0.0-3.10-0.10","433","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","0","trial","0","1","8"
"two-choice","14","84052","0.0-3.11-0.11","447","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","0","trial","1","0","8"
"two-choice","15","86694","0.0-3.12-0.12","346","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","0","9"
"two-choice","16","89514","0.0-3.13-0.13","530","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","0","trial","1","0","9"
"two-choice","17","92198","0.0-3.14-0.14","377","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","10"
"two-choice","18","94995","0.0-3.15-0.15","505","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","0","trial","1","0","10"
"two-choice","19","97680","0.0-3.16-0.16","417","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","11"
"two-choice","20","100538","0.0-3.17-0.17","579","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","12"
"two-choice","21","103547","0.0-3.18-0.18","703","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","0","trial","0","1","12"
"two-choice","22","106752","0.0-3.19-0.19","931","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","1","12"
"two-choice","23","109514","0.0-3.20-0.20","475","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","1","12"
"two-choice","24","112205","0.0-3.21-0.21","417","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","1","12"
"two-choice","25","115016","0.0-3.22-0.22","537","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","0","13"
"two-choice","26","118027","0.0-3.23-0.23","724","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","1","trial","0","0","14"
"two-choice","27","120778","0.0-3.24-0.24","471","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","0","trial","0","1","14"
"two-choice","28","124022","0.0-3.25-0.25","948","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","0","15"
"two-choice","29","127552","0.0-3.26-0.26","1237","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","0","trial","0","1","15"
"two-choice","30","130377","0.0-3.27-0.27","544","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","1","trial","0","0","16"
"two-choice","31","133734","0.0-3.28-0.28","1047","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","1","16"
"two-choice","32","136400","0.0-3.29-0.29","372","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","0","trial","0","1","16"
"two-choice","33","139368","0.0-3.30-0.30","675","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","1","trial","0","0","17"
"two-choice","34","142206","0.0-3.31-0.31","540","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","1","17"
"two-choice","35","145320","0.0-3.32-0.32","817","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","18"
"two-choice","36","147988","0.0-3.33-0.33","376","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","19"
"two-choice","37","150628","0.0-3.34-0.34","351","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","20"
"two-choice","38","153414","0.0-3.35-0.35","486","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","21"
"two-choice","39","156237","0.0-3.36-0.36","520","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","1","21"
"two-choice","40","159051","0.0-3.37-0.37","516","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","0","22"
"two-choice","41","161904","0.0-3.38-0.38","560","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","0","trial","1","0","22"
"two-choice","42","164897","0.0-3.39-0.39","701","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","23"
"two-choice","43","167813","0.0-3.40-0.40","615","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","24"
"two-choice","44","171021","0.0-3.41-0.41","907","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","0","trial","0","1","24"
"two-choice","45","173867","0.0-3.42-0.42","558","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","25"
"two-choice","46","176705","0.0-3.43-0.43","557","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","26"
"two-choice","47","179507","0.0-3.44-0.44","524","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","27"
"two-choice","48","182282","0.0-3.45-0.45","504","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","28"
"two-choice","49","185335","0.0-3.46-0.46","761","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","29"
"two-choice","50","188318","0.0-3.47-0.47","688","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","30"
"two-choice","51","191100","0.0-3.48-0.48","489","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","31"
"two-choice","52","193802","0.0-3.49-0.49","422","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","32"
"two-choice","53","196686","0.0-3.50-0.50","589","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","33"
