trial_type,trial_index,time_elapsed,internal_node_id,rt,responses,partNum,view_history,key_press,images,key_choice,image_i_chosen,feedback_correct,phase,correct_stim,correct,score
pavlovia,0,5,0.0-0.0,,,,,,,,,,,,,
survey-text,1,94144,0.0-1.0,94138,{"Q0":"42"},"742",,,,,,,,,,
instructions,2,127741,0.0-2.0-0.0,33595,,,"[{""page_index"":0,""viewing_time"":15216},{""page_index"":1,""viewing_time"":8673},{""page_index"":2,""viewing_time"":7402},{""page_index"":3,""viewing_time"":2303}]",,,,,,,,,
two-choice,3,1,0.0-3.3-0.,440.30594663127,,,,,,,1,0,trial,,0,0
two-choice,4,1,0.0-3.4-0.,490.259981439522,,,,,,,1,0,trial,,0,0
two-choice,5,1,0.0-3.5-0.,430.234551111425,,,,,,,0,0,trial,,0,0
two-choice,6,1,0.0-3.6-0.,375.211843907891,,,,,,,0,0,trial,,0,0
two-choice,7,1,0.0-3.7-0.,989.948896563874,,,,,,,1,1,trial,,1,1
two-choice,8,1,0.0-3.8-0.,565.529114246601,,,,,,,1,1,trial,,1,2
two-choice,9,1,0.0-3.9-0.,530.118705060886,,,,,,,1,0,trial,,0,2
two-choice,10,1,0.0-3.10-0.,404.999896727531,,,,,,,1,0,trial,,0,2
two-choice,11,1,0.0-3.11-0.,665.359639118833,,,,,,,1,0,trial,,0,2
two-choice,12,1,0.0-3.12-0.,664.84835110532,,,,,,,0,1,trial,,1,3
two-choice,13,1,0.0-3.13-0.,545.318199789108,,,,,,,0,0,trial,,0,3
two-choice,14,1,0.0-3.14-0.,565.245749805399,,,,,,,0,1,trial,,1,4
two-choice,15,1,0.0-3.15-0.,469.770413201331,,,,,,,0,1,trial,,1,5
two-choice,16,1,0.0-3.16-0.,445.380054405177,,,,,,,0,0,trial,,0,5
two-choice,17,1,0.0-3.17-0.,360.402609416269,,,,,,,0,1,trial,,1,6
two-choice,18,1,0.0-3.18-0.,404.773060230582,,,,,,,0,1,trial,,1,7
two-choice,19,1,0.0-3.19-0.,560.120549465864,,,,,,,0,0,trial,,0,7
two-choice,20,1,0.0-3.20-0.,410.355194791919,,,,,,,0,0,trial,,0,7
two-choice,21,1,0.0-3.21-0.,284.664222195715,,,,,,,0,1,trial,,1,8
two-choice,22,1,0.0-3.22-0.,469.772587353873,,,,,,,0,1,trial,,1,9
two-choice,23,1,0.0-3.23-0.,550.414773797456,,,,,,,0,1,trial,,1,10
two-choice,24,1,0.0-3.24-0.,445.70762659896,,,,,,,0,0,trial,,0,10
two-choice,25,1,0.0-3.25-0.,409.92326331434,,,,,,,0,1,trial,,1,11
two-choice,26,1,0.0-3.26-0.,340.255470075135,,,,,,,0,1,trial,,1,12
two-choice,27,1,0.0-3.27-0.,470.321560664161,,,,,,,0,1,trial,,1,13
two-choice,28,1,0.0-3.28-0.,574.953699628168,,,,,,,0,0,trial,,0,13
two-choice,29,1,0.0-3.29-0.,425.481855436374,,,,,,,0,0,trial,,0,13
two-choice,30,1,0.0-3.30-0.,490.137141867308,,,,,,,0,1,trial,,1,14
two-choice,31,1,0.0-3.31-0.,475.089113044305,,,,,,,0,1,trial,,1,15
two-choice,32,1,0.0-3.32-0.,499.704858902987,,,,,,,0,1,trial,,1,16
two-choice,33,1,0.0-3.33-0.,534.993153234609,,,,,,,0,1,trial,,1,17
two-choice,34,1,0.0-3.34-0.,454.889431701304,,,,,,,0,1,trial,,1,18
two-choice,35,1,0.0-3.35-0.,445.194889149207,,,,,,,0,1,trial,,1,19
two-choice,36,1,0.0-3.36-0.,480.186049409895,,,,,,,0,1,trial,,1,20
two-choice,37,1,0.0-3.37-0.,485.130070439482,,,,,,,0,1,trial,,1,21
two-choice,38,1,0.0-3.38-0.,435.079285878601,,,,,,,0,0,trial,,0,21
two-choice,39,1,0.0-3.39-0.,510.06577895896,,,,,,,0,0,trial,,0,21
two-choice,40,1,0.0-3.40-0.,555.338502741506,,,,,,,0,0,trial,,0,21
two-choice,41,1,0.0-3.41-0.,454.898490666892,,,,,,,0,1,trial,,1,22
two-choice,42,1,0.0-3.42-0.,520.195151859298,,,,,,,0,0,trial,,0,22
two-choice,43,1,0.0-3.43-0.,484.778944935897,,,,,,,0,0,trial,,0,22
two-choice,44,1,0.0-3.44-0.,409.726140223938,,,,,,,1,1,trial,,1,23
two-choice,45,1,0.0-3.45-0.,520.074486437807,,,,,,,1,1,trial,,1,24
two-choice,46,1,0.0-3.46-0.,570.634747220538,,,,,,,1,1,trial,,1,25
two-choice,47,1,0.0-3.47-0.,415.197030688432,,,,,,,1,1,trial,,1,26
two-choice,48,1,0.0-3.48-0.,400.080516084927,,,,,,,1,1,trial,,1,27
two-choice,49,1,0.0-3.49-0.,490.435363011784,,,,,,,1,1,trial,,1,28
two-choice,50,1,0.0-3.50-0.,530.370544302059,,,,,,,1,0,trial,,0,28
two-choice,51,1,0.0-3.51-0.,430.28310716727,,,,,,,1,0,trial,,0,28
two-choice,52,1,0.0-3.52-0.,430.295789718002,,,,,,,1,0,trial,,0,28
two-choice,53,1,0.0-3.53-0.,480.234605465739,,,,,,,1,1,trial,,1,29
two-choice,54,1,0.0-3.54-0.,415.199929557275,,,,,,,1,1,trial,,1,30
two-choice,55,1,0.0-3.55-0.,350.114885801304,,,,,,,1,1,trial,,1,31
two-choice,56,1,0.0-3.56-0.,475.496041775841,,,,,,,1,0,trial,,0,31
two-choice,57,1,0.0-3.57-0.,400.102982321187,,,,,,,1,1,trial,,1,32
two-choice,58,1,0.0-3.58-0.,425.430038152626,,,,,,,1,1,trial,,1,33
two-choice,59,1,0.0-3.59-0.,475.10578154106,,,,,,,1,1,trial,,1,34
two-choice,60,1,0.0-3.60-0.,509.721538270242,,,,,,,1,1,trial,,1,35
two-choice,61,1,0.0-3.61-0.,379.947146371705,,,,,,,1,1,trial,,1,36
two-choice,62,1,0.0-3.62-0.,435.00282820969,,,,,,,1,0,trial,,0,36
two-choice,63,1,0.0-3.63-0.,419.972192599744,,,,,,,1,1,trial,,1,37
two-choice,64,1,0.0-3.64-0.,440.65272383159,,,,,,,1,0,trial,,0,37
two-choice,65,1,0.0-3.65-0.,530.613324579463,,,,,,,1,1,trial,,1,38
two-choice,66,1,0.0-3.66-0.,420.512106944443,,,,,,,1,0,trial,,0,38
two-choice,67,1,0.0-3.67-0.,535.202234159442,,,,,,,1,0,trial,,0,38
two-choice,68,1,0.0-3.68-0.,505.218870042881,,,,,,,1,0,trial,,0,38
two-choice,69,1,0.0-3.69-0.,450.386401114883,,,,,,,0,1,trial,,1,39
two-choice,70,1,0.0-3.70-0.,554.700389209756,,,,,,,0,1,trial,,1,40
two-choice,71,1,0.0-3.71-0.,499.888937081778,,,,,,,0,1,trial,,1,41
two-choice,72,1,0.0-3.72-0.,850.249864388388,,,,,,,0,0,trial,,0,41
two-choice,73,1,0.0-3.73-0.,460.226611834514,,,,,,,0,0,trial,,0,41
two-choice,74,1,0.0-3.74-0.,500.523427028384,,,,,,,0,1,trial,,1,42
two-choice,75,1,0.0-3.75-0.,539.811798178562,,,,,,,0,0,trial,,0,42
two-choice,76,1,0.0-3.76-0.,469.703739216129,,,,,,,0,1,trial,,1,43
two-choice,77,1,0.0-3.77-0.,585.326939877632,,,,,,,0,1,trial,,1,44
two-choice,78,1,0.0-3.78-0.,515.216706760839,,,,,,,0,1,trial,,1,45
two-choice,79,1,0.0-3.79-0.,469.824404635801,,,,,,,0,0,trial,,0,45
two-choice,80,1,0.0-3.80-0.,550.412962002156,,,,,,,0,1,trial,,1,46
two-choice,81,1,0.0-3.81-0.,505.615652731649,,,,,,,0,0,trial,,0,46
two-choice,82,1,0.0-3.82-0.,414.898809542137,,,,,,,0,1,trial,,1,47
two-choice,83,1,0.0-3.83-0.,480.597688803755,,,,,,,0,0,trial,,0,47
two-choice,84,1,0.0-3.84-0.,425.555051877382,,,,,,,0,1,trial,,1,48
two-choice,85,1,0.0-3.85-0.,545.203694462543,,,,,,,0,1,trial,,1,49
two-choice,86,1,0.0-3.86-0.,465.105045952441,,,,,,,0,1,trial,,1,50
two-choice,87,1,0.0-3.87-0.,464.75754403582,,,,,,,0,1,trial,,1,51
two-choice,88,1,0.0-3.88-0.,565.383446082706,,,,,,,0,1,trial,,1,52
two-choice,89,1,0.0-3.89-0.,530.557158992451,,,,,,,0,1,trial,,1,53
two-choice,90,1,0.0-3.90-0.,550.48253485802,,,,,,,0,0,trial,,0,53
two-choice,91,1,0.0-3.91-0.,399.72757878968,,,,,,,0,1,trial,,1,54
two-choice,92,1,0.0-3.92-0.,485.033683044094,,,,,,,0,1,trial,,1,55
two-choice,93,1,0.0-3.93-0.,435.018771988325,,,,,,,0,1,trial,,1,56
two-choice,94,1,0.0-3.94-0.,429.975102339085,,,,,,,0,0,trial,,0,56
two-choice,95,1,0.0-3.95-0.,499.945102668789,,,,,,,0,1,trial,,1,57
two-choice,96,1,0.0-3.96-0.,530.229224439609,,,,,,,0,1,trial,,1,58
two-choice,97,1,0.0-3.97-0.,545.154051333157,,,,,,,0,1,trial,,1,59
two-choice,98,1,0.0-3.98-0.,475.034759250775,,,,,,,0,1,trial,,1,60
two-choice,99,1,0.0-3.99-0.,509.690737786514,,,,,,,0,0,trial,,0,60
two-choice,100,1,0.0-3.100-0.,484.939107445825,,,,,,,0,1,trial,,1,61
two-choice,101,1,0.0-3.101-0.,385.216565440714,,,,,,,0,0,trial,,0,61
two-choice,102,1,0.0-3.102-0.,425.224218455696,,,,,,,0,1,trial,,1,62
two-choice,103,1,0.0-3.103-0.,419.890299550389,,,,,,,0,0,trial,,0,62
two-choice,104,1,0.0-3.104-0.,360.52327483776,,,,,,,0,1,trial,,1,63
two-choice,105,1,0.0-3.105-0.,444.921670748954,,,,,,,0,0,trial,,0,63
two-choice,106,1,0.0-3.106-0.,409.915653783173,,,,,,,0,0,trial,,0,63
two-choice,107,1,0.0-3.107-0.,415.572071860879,,,,,,,0,1,trial,,1,64
two-choice,108,1,0.0-3.108-0.,430.189256285303,,,,,,,0,0,trial,,0,64
two-choice,109,1,0.0-3.109-0.,1005.16505978703,,,,,,,0,1,trial,,1,65
two-choice,110,1,0.0-3.110-0.,490.214324254339,,,,,,,0,0,trial,,0,65
two-choice,111,1,0.0-3.111-0.,405.464802837741,,,,,,,0,0,trial,,0,65
two-choice,112,1,0.0-3.112-0.,660.093118918667,,,,,,,1,0,trial,,0,65
two-choice,113,1,0.0-3.113-0.,635.271553363054,,,,,,,1,0,trial,,0,65
two-choice,114,1,0.0-3.114-0.,700.117802787645,,,,,,,1,1,trial,,1,66
two-choice,115,1,0.0-3.115-0.,534.861617054048,,,,,,,1,0,trial,,0,66
two-choice,116,1,0.0-3.116-0.,559.716157244111,,,,,,,1,1,trial,,1,67
two-choice,117,1,0.0-3.117-0.,515.059443119753,,,,,,,1,1,trial,,1,68
two-choice,118,1,0.0-3.118-0.,510.336460851249,,,,,,,1,1,trial,,1,69
two-choice,119,1,0.0-3.119-0.,370.216005596376,,,,,,,1,1,trial,,1,70
two-choice,120,1,0.0-3.120-0.,290.511965624319,,,,,,,1,1,trial,,1,71
two-choice,121,1,0.0-3.121-0.,394.938284891396,,,,,,,1,0,trial,,0,71
two-choice,122,1,0.0-3.122-0.,405.614819308539,,,,,,,1,1,trial,,1,72
two-choice,123,1,0.0-3.123-0.,445.605441467706,,,,,,,1,1,trial,,1,73
two-choice,124,1,0.0-3.124-0.,500.22701767557,,,,,,,1,1,trial,,1,74
two-choice,125,1,0.0-3.125-0.,420.006979025857,,,,,,,1,0,trial,,0,74
two-choice,126,1,0.0-3.126-0.,455.65473311035,,,,,,,1,1,trial,,1,75
two-choice,127,1,0.0-3.127-0.,479.961024706427,,,,,,,1,0,trial,,0,75
two-choice,128,1,0.0-3.128-0.,444.939788680131,,,,,,,1,1,trial,,1,76
two-choice,129,1,0.0-3.129-0.,364.909988305953,,,,,,,1,1,trial,,1,77
two-choice,130,1,0.0-3.130-0.,530.614411654824,,,,,,,1,0,trial,,0,77
two-choice,131,1,0.0-3.131-0.,600.514839130483,,,,,,,1,0,trial,,0,77
two-choice,132,1,0.0-3.132-0.,480.042917755782,,,,,,,1,1,trial,,1,78
two-choice,133,1,0.0-3.133-0.,519.984259142802,,,,,,,1,0,trial,,0,78
two-choice,134,1,0.0-3.134-0.,485.595338908752,,,,,,,1,1,trial,,1,79
two-choice,135,1,0.0-3.135-0.,475.536263582399,,,,,,,1,1,trial,,1,80
two-choice,136,1,0.0-3.136-0.,475.173904960684,,,,,,,1,1,trial,,1,81
two-choice,137,1,0.0-3.137-0.,509.786762822841,,,,,,,1,1,trial,,1,82
