trial_type,trial_index,time_elapsed,internal_node_id,rt,responses,partNum,view_history,key_press,images,key_choice,image_i_chosen,feedback_correct,phase,correct_stim,correct,score
pavlovia,0,5,0.0-0.0,,,,,,,,,,,,,
survey-text,1,94144,0.0-1.0,94138,{"Q0":"34"},"718",,,,,,,,,,
instructions,2,127741,0.0-2.0-0.0,33595,,,"[{""page_index"":0,""viewing_time"":15216},{""page_index"":1,""viewing_time"":8673},{""page_index"":2,""viewing_time"":7402},{""page_index"":3,""viewing_time"":2303}]",,,,,,,,,
two-choice,3,1,0.0-3.3-0.,865.731367650369,,,,,,,1,1,trial,,1,1
two-choice,4,1,0.0-3.4-0.,1200.65908811557,,,,,,,1,1,trial,,1,2
two-choice,5,1,0.0-3.5-0.,775.296739593614,,,,,,,1,0,trial,,0,2
two-choice,6,1,0.0-3.6-0.,910.451860454486,,,,,,,1,1,trial,,1,3
two-choice,7,1,0.0-3.7-0.,724.915739705466,,,,,,,1,0,trial,,0,3
two-choice,8,1,0.0-3.8-0.,2060.14371061246,,,,,,,0,1,trial,,1,4
two-choice,9,1,0.0-3.9-0.,889.808088402788,,,,,,,0,1,trial,,1,5
two-choice,10,1,0.0-3.10-0.,740.037609934006,,,,,,,0,1,trial,,1,6
two-choice,11,1,0.0-3.11-0.,825.54425420858,,,,,,,0,0,trial,,0,6
two-choice,12,1,0.0-3.12-0.,1030.64309914043,,,,,,,0,0,trial,,0,6
two-choice,13,1,0.0-3.13-0.,860.306745504204,,,,,,,0,1,trial,,1,7
two-choice,14,1,0.0-3.14-0.,1962.01630787618,,,,,,,0,0,trial,,0,7
two-choice,15,1,0.0-3.15-0.,2960.67596943249,,,,,,,1,1,trial,,1,8
two-choice,16,1,0.0-3.16-0.,1030.1340265305,,,,,,,1,0,trial,,0,8
two-choice,17,1,0.0-3.17-0.,6275.98172019862,,,,,,,0,0,trial,,0,8
two-choice,18,1,0.0-3.18-0.,1360.21897436513,,,,,,,0,1,trial,,1,9
two-choice,19,1,0.0-3.19-0.,1039.98999408941,,,,,,,0,1,trial,,1,10
two-choice,20,1,0.0-3.20-0.,734.890198304129,,,,,,,0,0,trial,,0,10
two-choice,21,1,0.0-3.21-0.,665.365947139435,,,,,,,0,0,trial,,0,10
two-choice,22,1,0.0-3.22-0.,1025.41596205992,,,,,,,1,1,trial,,1,11
two-choice,23,1,0.0-3.23-0.,1405.10038092725,,,,,,,1,0,trial,,0,11
